Date,iShares Edge MSCI World Momentum Factor UCITS ETF (Acc)
2018-02,1118.7219027625595
2018-03,1072.835603974522
2018-04,1105.7900170516443
2018-05,1174.5767481393782
2018-06,1174.4425388805944
2018-07,1192.533693861008
2018-08,1255.5817336469383
2018-09,1275.917479816523
2018-10,1176.0934887257379
2018-11,1188.7955043958211
2018-12,1092.435410662453
2019-01,1158.3620734482274
2019-02,1208.6900961862564
2019-03,1260.3491771656113
2019-04,1303.1478516571062
2019-05,1263.8492189226429
2019-06,1316.8259784638387
2019-07,1357.4511388707358
2019-08,1372.6416491294656
2019-09,1379.9358825849959
2019-10,1363.825443795828
2019-11,1421.3297290623657
2019-12,1423.916920734849
2020-01,1485.492913449559
2020-02,1388.3559714183057
2020-03,1249.4225141990253
2020-04,1387.7738904949333
2020-05,1433.6956945665731
2020-06,1491.6078123947584
2020-07,1503.665757619845
2020-08,1607.4033787438384
2020-09,1586.368919694405
2020-10,1531.1460461156905
2020-11,1642.7516574964932
2020-12,1672.8092301133754
2021-01,1705.0480677985656
2021-02,1696.0983882918488
2021-03,1757.6794258926752
2021-04,1821.4973027692822
2021-05,1784.9608729991835
2021-06,1853.3867930303527
