Date,iShares Core S&P 500 UCITS ETF (Acc)
2008-04,627.5093128078308
2008-05,636.9128348125122
2008-06,573.7097319240391
2008-07,574.4282248076797
2008-08,617.3482857280886
2008-09,579.2876303373229
2008-10,540.3744580905196
2008-11,502.75243484655846
2008-12,464.6271359002282
2009-01,461.98804480940237
2009-02,418.38492306193007
2009-03,432.306342637113
2009-04,474.8343069962982
2009-05,472.095025696629
2009-06,471.79990692600023
2009-07,507.31269728403413
2009-08,520.6637118716399
2009-09,526.3793158077243
2009-10,511.09032544926526
2009-11,533.6752211217499
2009-12,567.2508510574667
2010-01,564.0405794225409
2010-02,598.4488091018545
2010-03,638.8125955917715
2010-04,656.8523143325112
2010-05,653.8672972572818
2010-06,621.4179490930779
2010-07,626.2810011903583
2010-08,614.386417861062
2010-09,621.7143968575722
2010-10,635.6019103930294
2010-11,677.6554022661123
2010-12,703.210811402675
2011-01,702.4860407385477
2011-02,719.0537763881393
2011-03,700.4116579137309
2011-04,689.4231830428673
2011-05,704.0864400581394
2011-06,689.0514027479624
2011-07,684.1369232095728
2011-08,638.4250045580942
2011-09,635.1357434886048
2011-10,679.4538905481065
2011-11,707.3702104277394
2011-12,741.0191361997305
2012-01,760.257476806955
2012-02,777.3351040692393
2012-03,808.1003865683009
2012-04,811.612740789386
2012-05,812.6661208955044
2012-06,833.534698603431
2012-07,866.1149356761925
2012-08,862.6082748675253
2012-09,863.0183341370304
2012-10,842.9249828385438
2012-11,848.2212717690533
2012-12,842.4088094553917
2013-01,862.7140328488898
2013-02,902.4151761067009
2013-03,959.895641467936
2013-04,958.3497815470455
2013-05,985.6867378288229
2013-06,966.8916750676132
2013-07,1001.1113248143657
2013-08,974.9974408129103
2013-09,985.4108176871848
2013-10,1020.3739096774842
2013-11,1053.7267149419597
2013-12,1066.241677615018
2014-01,1050.2569452111404
2014-02,1074.625378860931
2014-03,1085.55829536364
2014-04,1088.6233750310435
2014-05,1134.0142128827802
2014-06,1153.050629242313
2014-07,1160.7946463018425
2014-08,1224.6470295500287
2014-09,1265.4622478367867
2014-10,1302.4042372728247
2014-11,1341.7479850836144
2014-12,1375.9900644563336
2015-01,1433.3012926302833
2015-02,1524.3598370172285
2015-03,1567.2335531277183
2015-04,1517.8442447190776
2015-05,1571.6079280343897
2015-06,1510.926040483537
2015-07,1573.7207367689737
2015-08,1445.9792951200247
2015-09,1411.6267596344835
2015-10,1556.4644589131963
2015-11,1625.6348025466527
2015-12,1554.6356666982422
2016-01,1472.933996665834
2016-02,1475.1840656893678
2016-03,1506.404410024442
2016-04,1509.771187391542
2016-05,1571.1035395485671
2016-06,1582.462465297548
2016-07,1639.088196934051
2016-08,1638.4937465363357
2016-09,1634.4462286798562
2016-10,1636.0557900090737
2016-11,1746.1670730124654
2016-12,1796.4581872552953
2017-01,1794.001989920447
2017-02,1892.944374555517
2017-03,1878.3757926348671
2017-04,1856.0629482054924
2017-05,1833.2625700287479
2017-06,1813.7239913175501
2017-07,1801.1930472792217
2017-08,1791.6302429335628
2017-09,1831.425881780352
2017-10,1901.1093220638254
2017-11,1924.4125338943386
2017-12,1922.3331748153232
2018-01,1956.578993543957
2018-02,1921.8454183631318
2018-03,1856.625654646195
2018-04,1900.9812272763743
2018-05,2009.8837746440988
2018-06,2029.2483200289935
2018-07,2090.65921301835
2018-08,2174.4086908273275
2018-09,2200.8267510615497
2018-10,2097.011880861067
2018-11,2131.8992880647556
2018-12,1923.872419031143
2019-01,2071.0556484280964
2019-02,2150.914775220322
2019-03,2227.9097010246774
2019-04,2321.499198590916
2019-05,2186.8992299459255
2019-06,2293.7886253775896
2019-07,2374.406626611417
2019-08,2361.0047117598283
2019-09,2437.5125864024526
2019-10,2430.9990828189466
2019-11,2558.556586394098
2019-12,2576.506182684251
2020-01,2617.7578273857143
2020-02,2418.528031466525
2020-03,2123.7292563087017
2020-04,2413.478742794847
2020-05,2469.2528168150393
2020-06,2504.274322377805
2020-07,2500.1971114980975
2020-08,2659.115705813397
2020-09,2608.611331866987
2020-10,2541.259859388799
2020-11,2752.919877374918
2020-12,2790.8110755317084
2021-01,2793.202902054916
2021-02,2873.6132083950306
2021-03,3100.601103894653
2021-04,3169.389963892446
2021-05,3160.2126046119165
2021-06,3320.070041925506
