Date,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc)
2004-12,98.21738261421054
2005-01,102.88837540104521
2005-02,110.00177354979945
2005-03,105.30229612121971
2005-04,102.474637400398
2005-05,111.38831630653587
2005-06,117.59543160311226
2005-07,125.55896540315766
2005-08,125.25778424766752
2005-09,137.94783961258614
2005-10,129.19974037601096
2005-11,142.99340849628837
2005-12,151.66704822319855
2006-01,163.34791042487143
2006-02,166.60142234548562
2006-03,164.7498590706388
2006-04,170.59436907374217
2006-05,149.57086157824727
2006-06,149.84775594073784
2006-07,151.30654175774322
2006-08,154.28900241644575
2006-09,158.19489815392447
2006-10,165.1694597587513
2006-11,171.01768691960902
2006-12,179.1192310006714
2007-01,180.21795688991094
2007-02,176.3934155128537
2007-03,181.98754133906579
2007-04,186.9204378875458
2007-05,198.90713199771793
2007-06,207.53462057960152
2007-07,216.21110364844668
2007-08,210.84767126328313
2007-09,225.46909477792298
2007-10,244.9767146849594
2007-11,222.85941840931085
2007-12,224.28440127074563
2008-01,193.76471596790913
2008-02,204.05555382737873
2008-03,185.1676510858355
2008-04,203.21292068348495
2008-05,206.94593384836503
2008-06,182.824957960238
2008-07,178.1118198412361
2008-08,173.82630027830018
2008-09,147.14216715944264
2008-10,119.31858290926935
2008-11,110.79720794078764
2008-12,109.79163278551584
2009-01,111.58410167110736
2009-02,106.96161120263199
2009-03,116.20338333066896
2009-04,136.63044607137428
2009-05,151.59864484411733
2009-06,149.37984707853343
2009-07,166.45893450536258
2009-08,164.62213611241017
2009-09,174.8291128614223
2009-10,173.28531653637674
2009-11,178.11321752758815
2009-12,193.640164734842
2010-01,189.05634397641725
2010-02,195.2409091454292
2010-03,212.59600140427207
2010-04,218.1676185043633
2010-05,214.86693178612853
2010-06,214.50662529784194
2010-07,218.68744250762563
2010-08,220.99279247247992
2010-09,228.3906496927552
2010-10,231.84021597742506
2010-11,240.75434070601665
2010-12,250.53694854810783
2011-01,237.71843530857248
2011-02,232.24599330090626
2011-03,239.1135544809721
2011-04,236.07100040421022
2011-05,237.37888105373048
2011-06,232.5031950186604
2011-07,235.39883390714826
2011-08,210.97921934818538
2011-09,192.50175227818502
2011-10,209.48362232807543
2011-11,203.60199185806403
2011-12,208.5564572026918
2012-01,227.90600771193917
2012-02,237.4886151887347
2012-03,231.07177191027014
2012-04,230.6033401758753
2012-05,218.84971358812365
2012-06,223.7650828784641
2012-07,233.38843061309584
2012-08,227.31748691003472
2012-09,235.13687592219952
2012-10,232.3394155504171
2012-11,235.52500528426316
2012-12,243.11748323370543
2013-01,240.3562603399928
2013-02,245.636848304974
2013-03,248.13277093324723
2013-04,245.32124324698913
2013-05,240.90217997779558
2013-06,223.63630357662038
2013-07,222.6161355086616
2013-08,219.0649904498766
2013-09,228.6699689959461
2013-10,237.05135052027657
2013-11,234.00010060661333
2013-12,227.84415022442056
2014-01,218.48004960289225
2014-02,221.11492476085823
2014-03,228.0683880254644
2014-04,227.86762730942561
2014-05,239.90574161975374
2014-06,245.16069776961515
2014-07,254.88674118610328
2014-08,264.51953757267137
2014-09,257.78724420995127
2014-10,261.0465385017209
2014-11,258.9495517861126
2014-12,254.66760667673563
2015-01,275.42682614401133
2015-02,285.27889834079014
2015-03,294.31578900469447
2015-04,304.60346217032605
2015-05,300.797043254489
2015-06,286.5754837973203
2015-07,271.9084835600479
2015-08,241.67858542890676
2015-09,235.69117014115594
2015-10,256.3397618726237
2015-11,257.0050312603854
2015-12,245.07763794220176
2016-01,227.9740925072253
2016-02,228.19640587830705
2016-03,246.13827840258867
2016-04,247.41434432560635
2016-05,243.58898272410437
2016-06,254.18483771802286
2016-07,266.5567360182661
2016-08,272.53009910323357
2016-09,275.36148565497393
2016-10,280.7595689213168
2016-11,275.6184130111898
2016-12,278.68950348286444
2017-01,287.7777098713207
2017-02,301.8104560852409
2017-03,306.77578831808205
2017-04,306.2236432583646
2017-05,306.22248283654693
2017-06,304.18262550571836
2017-07,312.91354546201694
2017-08,317.2023239327583
2017-09,316.6500891596816
2017-10,332.45791100733885
2017-11,327.82459477965205
2017-12,335.6776682667587
2018-01,349.0147026603607
2018-02,339.7690970920394
2018-03,330.84157113490545
2018-04,336.13341612246586
2018-05,335.4429944231397
2018-06,321.8310808376317
2018-07,326.58708212277133
2018-08,320.3565813542646
2018-09,319.742920560323
2018-10,297.86324448175736
2018-11,309.4327818190832
2018-12,299.3387590969418
2019-01,323.3157625385073
2019-02,326.4478897499932
2019-03,334.54398408316183
2019-04,341.4214228547276
2019-05,319.4671629792796
2019-06,331.9506348586822
2019-07,334.7628408011051
2019-08,321.76932943630663
2019-09,332.41323429925995
2019-10,338.0446882141198
2019-11,342.66816949951834
2019-12,359.6626670580034
2020-01,348.76127029296305
2020-02,331.9363586132488
2020-03,278.76505367526636
2020-04,307.8064213314286
2020-05,303.4109679673309
2020-06,324.51225808931684
2020-07,334.44170522438714
2020-08,339.8682442413628
2020-09,341.05954285365755
2020-10,347.505281697599
2020-11,372.25617666791624
2020-12,390.4056524560765
2021-01,405.6403009001893
2021-02,411.4097721270732
2021-03,420.29708232501
2021-04,419.6080553560516
2021-05,425.26947300798275
2021-06,438.5598180327736
