Date,iShares Edge MSCI World Value Factor UCITS ETF
2012-07,302.64010394297253
2012-08,304.08764646654475
2012-09,305.245533393976
2012-10,305.9476477464967
2012-11,309.4937377809397
2012-12,319.5765298851871
2013-01,329.7274884477089
2013-02,335.5240851123634
2013-03,349.93549973516826
2013-04,358.4021985118181
2013-05,367.42288482514596
2013-06,354.0659483678436
2013-07,371.72869307221833
2013-08,366.3559332163706
2013-09,379.1379334242404
2013-10,391.31503285865006
2013-11,402.4524427185734
2013-12,404.4158280232187
2014-01,400.69180980921146
2014-02,411.10510829953716
2014-03,415.4249840191464
2014-04,418.58913435228465
2014-05,433.7121485155435
2014-06,442.35572618245214
2014-07,448.0732910662082
2014-08,456.7183244408913
2014-09,465.8618266142968
2014-10,461.51186426620814
2014-11,472.38332111522647
2014-12,478.89659034420947
2015-01,503.4944014259743
2015-02,540.0928961600638
2015-03,557.2698844557091
2015-04,551.5497865059001
2015-05,571.2177330887853
2015-06,544.7177906387975
2015-07,557.9634187330287
2015-08,506.79296569727114
2015-09,480.5153230288893
2015-10,528.5990479735159
2015-11,540.7147918643088
2015-12,517.9203560369758
2016-01,472.7150305554543
2016-02,468.5168622259357
2016-03,476.31987031080916
2016-04,491.56144295050876
2016-05,501.6345482539927
2016-06,484.3836621733581
2016-07,511.29575239706156
2016-08,520.2687748638058
2016-09,520.6188658856506
2016-10,532.6399749240705
2016-11,558.2723193961568
2016-12,580.5944321299125
2017-01,582.1352361140338
2017-02,602.4890015428098
2017-03,599.9729700178611
2017-04,591.3665821563559
2017-05,581.697074051051
2017-06,578.4009580634803
2017-07,579.5295797875785
2017-08,572.9908978451698
2017-09,593.3121315522234
2017-10,616.7859582751454
2017-11,621.6257612223509
2017-12,625.170539390876
2018-01,633.729589139907
2018-02,622.5928528058342
2018-03,603.5523278890411
2018-04,628.4395698806776
2018-05,633.4743924514532
2018-06,622.9086693789192
2018-07,635.7576728830903
2018-08,634.4306933479389
2018-09,650.1669276112849
2018-10,616.7623023024846
2018-11,617.04001489189
2018-12,565.370420662769
2019-01,612.265116698183
2019-02,621.7654559051259
2019-03,628.256457425246
2019-04,640.4745286709651
2019-05,592.5505785349411
2019-06,620.6031953909683
2019-07,631.1969833908819
2019-08,611.4622606626898
2019-09,649.6457030008331
2019-10,658.9211031649478
2019-11,682.0174905129153
2019-12,688.5521476140867
2020-01,675.6574076560054
2020-02,616.7797773943122
2020-03,517.3523089705525
2020-04,558.6114343809032
2020-05,562.100727134463
2020-06,562.7789715368746
2020-07,521.5539555440649
2020-08,545.8775559019168
2020-09,539.0840689239583
2020-10,520.9644446268713
2020-11,594.7466195011139
2020-12,607.4084648162085
2021-01,621.9888719330667
2021-02,660.7790505589844
2021-03,722.1971063168603
2021-04,708.0531263407935
2021-05,724.0768665016752
2021-06,731.826807909107
