Date,iShares Physical Gold ETC
2002-05,202.81920317674388
2002-06,186.09782892405326
2002-07,181.46939518023171
2002-08,185.34789106844073
2002-09,191.2520472512299
2002-10,187.12818741654402
2002-11,187.17249124361155
2002-12,190.30923545230596
2003-01,197.81452821468574
2003-02,187.58063405268007
2003-03,178.87348775238934
2003-04,176.04612334431494
2003-05,177.86159456727518
2003-06,176.14058327259605
2003-07,182.30636874142075
2003-08,199.89920165415904
2003-09,193.61842396300293
2003-10,193.21202396044643
2003-11,193.0538608408635
2003-12,192.0001526694304
2004-01,187.57101435304585
2004-02,185.20280272908707
2004-03,201.3494461311818
2004-04,188.87051980701045
2004-05,187.21590987232014
2004-06,189.0668517390267
2004-07,188.73658584100417
2004-08,195.18223610801243
2004-09,194.3932424185628
2004-10,193.86734608208934
2004-11,197.85499600131664
2004-12,186.52885827714064
2005-01,187.83148473790368
2005-02,190.47495001295488
2005-03,191.19363359600405
2005-04,194.9359744945841
2005-05,194.81120677661332
2005-06,209.48783928075332
2005-07,205.5556012958502
2005-08,205.77249965596917
2005-09,227.64978266328225
2005-10,226.76900628146788
2005-11,243.88092256953564
2005-12,251.78013752132006
2006-01,271.7080007574887
2006-02,271.0093057026494
2006-03,278.27240186225174
2006-04,297.23773097912584
2006-05,293.5919972178088
2006-06,279.1491368713023
2006-07,286.53287314286604
2006-08,280.56409832728684
2006-09,273.67580949645236
2006-10,274.90576920095725
2006-11,283.1755833257265
2006-12,278.94816622585097
2007-01,290.1578875340475
2007-02,290.4594193180487
2007-03,287.0170147555322
2007-04,287.3916580626571
2007-05,282.9087355047295
2007-06,278.0974157677266
2007-07,280.2732591535788
2007-08,283.00763773647327
2007-09,302.4034811321917
2007-10,315.32041910833243
2007-11,306.21753241628653
2007-12,327.7715295839568
2008-01,358.0865473460664
2008-02,369.365320697692
2008-03,340.3814655694699
2008-04,323.0971238366607
2008-05,329.19545907852745
2008-06,340.0675244567844
2008-07,338.8245380216736
2008-08,325.67635226590346
2008-09,356.2043321087207
2008-10,329.8940827979892
2008-11,368.517189013752
2008-12,357.8428769434476
2009-01,413.0109415900369
2009-02,433.3604307211318
2009-03,396.3157078789167
2009-04,382.8243416180517
2009-05,398.065069796741
2009-06,380.3001981612022
2009-07,381.9631703518362
2009-08,384.96523110088003
2009-09,390.9562867579768
2009-10,403.93643091090644
2009-11,449.8191859083709
2009-12,440.38760577322165
2010-01,443.69986022344193
2010-02,469.1741194963391
2010-03,475.35732776620443
2010-04,508.63793407103685
2010-05,563.4000694453373
2010-06,582.0440125383494
2010-07,515.0797389957231
2010-08,563.9929812372138
2010-09,549.5546919951951
2010-10,557.6405574970777
2010-11,610.6275918587675
2010-12,605.381410556931
2011-01,555.8192500911811
2011-02,584.8485919823645
2011-03,580.7020657556448
2011-04,592.3229497705553
2011-05,612.1864599267774
2011-06,596.9160575697725
2011-07,654.3287712147442
2011-08,718.9768658337504
2011-09,687.1918698294198
2011-10,704.3690683846564
2011-11,745.10527400661
2011-12,696.6739959562136
2012-01,757.6826120917423
2012-02,753.5852032711721
2012-03,712.3079580119909
2012-04,714.9778372316729
2012-05,718.5985720550991
2012-06,726.2138274758323
2012-07,755.1313841931271
2012-08,747.4487838960829
2012-09,785.2736126476645
2012-10,756.2608360297631
2012-11,759.6300073413026
2012-12,720.6777063071557
2013-01,701.9454789652357
2013-02,691.1612686115618
2013-03,712.8896183767331
2013-04,641.742107884623
2013-05,612.1861100259573
2013-06,520.2310911652493
2013-07,565.184917512886
2013-08,601.4123071601882
2013-09,560.4524474253466
2013-10,553.7302990457594
2013-11,525.1036569010732
2013-12,496.8660890825866
2014-01,527.7834125939413
2014-02,547.519477292794
2014-03,534.0562908822083
2014-04,530.2433577924542
2014-05,523.7117084807227
2014-06,548.5850600662072
2014-07,547.2683937062098
2014-08,555.3237430931833
2014-09,550.5886003612205
2014-10,529.3354353993104
2014-11,539.4290056283141
2014-12,562.2760856692267
2015-01,634.4823576881791
2015-02,614.6314918245572
2015-03,627.7314983742332
2015-04,598.6841319833197
2015-05,617.7423098502563
2015-06,595.1831628481701
2015-07,569.4896515863056
2015-08,575.362673261283
2015-09,565.2309895117726
2015-10,589.3116108915372
2015-11,570.3968614678017
2015-12,554.3523496435237
2016-01,578.369662061588
2016-02,644.2040038976663
2016-03,617.0276416469475
2016-04,640.1847349511561
2016-05,616.9332060138712
