Date,SPDR MSCI World UCITS ETF
2002-01,2346.974769350716
2002-02,2323.0289858172546
2002-03,2405.6760270331256
2002-04,2251.3230543479754
2002-05,2165.2088814517065
2002-06,1914.1480094519552
2002-07,1787.2550121273032
2002-08,1781.686143234643
2002-09,1581.6159411293934
2002-10,1697.7883577756688
2002-11,1778.1778316903308
2002-12,1601.805418808598
2003-01,1505.9955645529765
2003-02,1484.7261778059046
2003-03,1465.1414437316616
2003-04,1562.0094782379388
2003-05,1555.325064745747
2003-06,1637.3787766938692
2003-07,1686.864978778377
2003-08,1785.2243783747635
2003-09,1684.5868027972056
2003-10,1789.3303821188233
2003-11,1760.4700096712597
2003-12,1776.9378615763294
2004-01,1841.537153946886
2004-02,1867.720247808809
2004-03,1885.3261934371085
2004-04,1890.4127512216094
2004-05,1869.4724314017126
2004-06,1915.2231238692175
2004-07,1870.863679849092
2004-08,1868.4712658486903
2004-09,1858.494851753247
2004-10,1855.1971763693396
2004-11,1871.2974136614869
2004-12,1896.6028633305953
2005-01,1937.4284149954854
2005-02,1966.0004039126995
2005-03,1972.0448694467652
2005-04,1931.299033573606
2005-05,2066.7627482831094
2005-06,2126.5734835297467
2005-07,2200.9378024846515
2005-08,2199.232707863938
2005-09,2286.0086958793045
2005-10,2234.2981081808725
2005-11,2359.590887754084
2005-12,2406.506800903239
2006-01,2447.58759123615
2006-02,2494.7579932800954
2006-03,2502.2331585063653
2006-04,2490.1966501284123
2006-05,2345.191697430544
2006-06,2373.833110681796
2006-07,2378.8206406353393
2006-08,2425.5871561315603
2006-09,2492.007072621657
2006-10,2576.403431622581
2006-11,2539.740617377855
2006-12,2597.7075807215388
2007-01,2672.4679312519297
2007-02,2607.655942151125
2007-03,2634.894572819954
2007-04,2694.323958689622
2007-05,2803.53804264112
2007-06,2771.9013435836628
2007-07,2670.8486012892577
2007-08,2670.10555778582
2007-09,2704.1896297689614
2007-10,2735.73516288191
2007-11,2569.032965557393
2007-12,2543.2678051777907
2008-01,2325.683573402958
2008-02,2267.815446118863
2008-03,2155.2995586782217
2008-04,2309.8340397367765
2008-05,2352.5463723311436
2008-06,2130.3460829202218
2008-07,2098.9953432703196
2008-08,2193.344593496782
2008-09,1991.5888395985055
2008-10,1809.9593052750586
2008-11,1697.863866958043
2008-12,1603.1297123241427
2009-01,1588.6918724584127
2009-02,1446.4019364545084
2009-03,1478.5354939192555
2009-04,1649.834200432006
2009-05,1696.0725496730784
2009-06,1684.6641876778995
2009-07,1827.1742348931664
2009-08,1885.3110114736942
2009-09,1911.2317521997154
2009-10,1857.5282019427411
2009-11,1905.4733553982462
2009-12,2023.2155578960617
2010-01,2000.897865087
2010-02,2088.9379050343005
2010-03,2234.245453065211
2010-04,2263.1215296055475
2010-05,2216.04765868012
2010-06,2146.952592918518
2010-07,2186.4653612118686
2010-08,2163.299252426655
2010-09,2197.8326852035993
2010-10,2245.635016942857
2010-11,2343.257313527882
2010-12,2447.5365475860394
2011-01,2442.8232986623884
2011-02,2503.2260679034925
2011-03,2414.335584314607
2011-04,2407.5227263176876
2011-05,2437.7038307397843
2011-06,2388.5433273374783
2011-07,2377.3782351023087
2011-08,2181.5631560341803
2011-09,2133.6341054678
2011-10,2270.958018895908
2011-11,2312.905193933315
2011-12,2397.8700735431576
2012-01,2473.360285965948
2012-02,2543.7453357309787
2012-03,2594.386326949142
2012-04,2594.0558469277407
2012-05,2527.4833061753866
2012-06,2617.806822463236
2012-07,2717.991828109703
2012-08,2715.7021360134268
2012-09,2722.3830530002588
2012-10,2691.3733543328867
2012-11,2728.4906903087913
2012-12,2737.153141507482
2013-01,2801.554614560734
2013-02,2897.3297053121955
2013-03,3041.465322666061
2013-04,3074.9814642086694
2013-05,3094.189133302712
2013-06,3001.7919285727494
2013-07,3113.971552190416
2013-08,3057.920455285444
2013-09,3147.5305158287165
2013-10,3238.5535239546857
2013-11,3304.5551131408984
2013-12,3331.3262507759428
2014-01,3273.6405369393024
2014-02,3364.985054320977
2014-03,3377.5457207964337
2014-04,3398.38821602495
2014-05,3530.0554847758312
2014-06,3580.9482666003014
2014-07,3597.8045160186193
2014-08,3731.477529956851
2014-09,3805.9808225558327
2014-10,3849.181258890876
2014-11,3940.6510644098103
2014-12,3987.609973931954
2015-01,4205.5043814479595
2015-02,4479.327285138851
2015-03,4608.9103025842705
2015-04,4527.027629584216
2015-05,4647.553546594776
2015-06,4452.024069054483
2015-07,4624.743506665037
2015-08,4224.59910375713
2015-09,4074.6230195972
2015-10,4472.553839184873
2015-11,4636.366730336748
2015-12,4427.36734804803
2016-01,4150.602869102892
2016-02,4133.941221552423
2016-03,4224.244463841225
2016-04,4286.567976066032
2016-05,4410.468039174998
2016-06,4383.157864956273
2016-07,4564.556834926253
2016-08,4562.400772070212
2016-09,4576.316141531927
2016-10,4576.642957523975
2016-11,4780.321701549914
2016-12,4939.631240445172
2017-01,4958.825550642995
2017-02,5174.3656814747455
2017-03,5186.659465227993
2017-04,5150.350910675497
2017-05,5127.2555631203195
2017-06,5062.244794733548
2017-07,5045.180818058624
2017-08,5012.433905011508
2017-09,5134.657063429809
2017-10,5308.014096188747
2017-11,5328.596088312592
2017-12,5336.924797112204
2018-01,5410.053257299904
2018-02,5290.888618282865
2018-03,5133.484816188619
2018-04,5299.223441636963
2018-05,5510.29646235197
2018-06,5528.493923885369
2018-07,5664.110933512308
2018-08,5778.133690026159
2018-09,5849.8092850324
2018-10,5544.660786960374
2018-11,5589.740973144108
2018-12,5125.200061713702
2019-01,5506.917523991557
2019-02,5710.524749221022
2019-03,5882.10795173122
2019-04,6102.712541150725
2019-05,5790.049275997454
2019-06,6049.203016993596
2019-07,6205.1250591847
2019-08,6143.922366440938
2019-09,6361.729069405034
2019-10,6369.717547720689
2019-11,6652.103675127475
2019-12,6699.523874961245
2020-01,6769.650126627867
2020-02,6242.039502500787
2020-03,5429.81209400828
2020-04,6069.74752026607
2020-05,6217.708062533422
2020-06,6348.839389328048
2020-07,6288.969114694622
2020-08,6659.312197188239
2020-09,6558.954144770908
2020-10,6364.217403217298
2020-11,7010.943679662654
2020-12,7136.5898790556
2021-01,7145.26222278672
2021-02,7339.124618868672
2021-03,7843.077630127962
2021-04,7968.237071898191
2021-05,8007.976788158849
2021-06,8346.024844608995
